algorithm_name,run_id,TOTAL_TAGS,BIT_ERROR_RATE,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,FP,FN,Reliability,Goodput,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
CR_MTI,8,500,0.06499999999999999,0.5,1394850.0,1.3948499999999975,0.004173937500000022,510,1,509,0,0.00196078431372549,137.0,0.0,0.726,260.24303688568665,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.9980392156862745
CPT,8,500,0.06499999999999999,0.5,206935.0,0.2069350000000004,0.000525999999999998,258,144,53,61,0.5581395348837209,19.0,0.0,0.962,2324.401382076497,206.935,0.206935,0.2074610000000004,1.937984496124031,414.9220000000008,0.9664870611544688,2416.217652886172,0.042930942035000086,0.2054263565891473
ECUMI,8,500,0.06499999999999999,0.5,259272.5,0.259272499999998,0.00066190625,378,62,75,241,0.164021164021164,15.0,16.0,0.938,1808.9076165038714,259.2725,0.2592725,0.25993440624999803,1.3227513227513228,519.868812499996,0.7713891754813951,1928.4729387034874,0.06739384334445261,0.1984126984126984
ISMTI,8,500,0.06499999999999999,0.5,100447.5,0.10044750000000004,0.0005373092999999999,23,0,22,1,0.0,63.0,9.0,0.856,4260.9323278329475,100.4475,0.1004475,0.10098480930000003,21.73913043478261,201.96961860000008,1.9910898728191342,4977.724682047836,0.010143671632161753,0.9565217391304348
LODS_MTI,8,500,0.06499999999999999,0.5,93825.0,0.09382500000000002,0.00034290900000000013,15,0,15,0,0.0,3.0,0.0,0.994,5297.095656807886,93.825,0.093825,0.09416790900000002,33.333333333333336,188.33581800000005,2.1316280309086064,5329.070077271515,0.008835304061925002,1.0
LODS_MTI_128b,8,500,0.06499999999999999,0.5,96760.0,0.09676000000000001,0.0003395905000000001,16,0,16,0,0.0,8.0,2.0,0.98,5064.076064489458,96.76,0.09676,0.09709959050000001,31.25,194.19918100000004,2.066969822240595,5167.4245556014885,0.009395356376780002,1.0
CT_MTI,23,500,0.045,0.5,291450.0,0.29144999999999827,0.0007821138000000012,289,127,160,2,0.43944636678200694,39.0,11.0,0.9,1544.004117344313,291.45,0.29145,0.29223211379999825,1.7301038062283738,584.4642275999965,0.686224052153028,1715.56013038257,0.08517104956700948,0.5536332179930796
CR_MTI,23,500,0.045,0.5,1394850.0,1.3948499999999975,0.004173937500000019,510,2,508,0,0.00392156862745098,119.0,0.0,0.762,273.1476502849769,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.996078431372549
CPT,23,500,0.045,0.5,206500.0,0.2065000000000005,0.0005249124999999983,258,138,56,64,0.5348837209302325,13.0,0.0,0.974,2358.353510895884,206.5,0.2065,0.2070249125000005,1.937984496124031,414.049825000001,0.9685230024213075,2421.3075060532688,0.0427506444312501,0.21705426356589147
ECUMI,23,500,0.045,0.5,255202.5,0.25520249999999767,0.0006517312499999996,378,44,82,252,0.1164021164021164,11.0,5.0,0.968,1896.5331452474015,255.2025,0.2552025,0.2558542312499977,1.3227513227513228,511.7084624999954,0.7836913823336371,1959.2284558340925,0.06529463945057754,0.21693121693121692
ISMTI,23,500,0.045,0.5,105545.0,0.10554500000000004,0.0005968373,24,0,23,1,0.0,45.0,4.0,0.902,4273.058884835852,105.545,0.105545,0.10614183730000004,20.833333333333332,212.2836746000001,1.894926334738737,4737.315836846843,0.011202740217828504,0.9583333333333334
LODS_MTI,23,500,0.045,0.5,90890.0,0.09089000000000001,0.0003429515000000001,14,0,14,0,0.0,2.0,0.0,0.996,5479.150621630542,90.89,0.09089,0.0912329515,35.714285714285715,182.46590300000003,2.2004620970403783,5501.155242600947,0.008292162961835001,1.0
LODS_MTI_128b,23,500,0.045,0.5,96760.0,0.09676000000000001,0.0003394825000000001,16,0,16,0,0.0,3.0,0.0,0.994,5136.420008267879,96.76,0.09676,0.09709948250000001,31.25,194.19896500000002,2.066969822240595,5167.4245556014885,0.0093953459267,1.0
CT_MTI,9,500,0.01,0.5,228260.0,0.22825999999999816,0.0006137060000000018,226,92,134,0,0.40707964601769914,76.0,0.0,0.848,1857.530885831946,228.26,0.22826,0.22887370599999815,2.2123893805309733,457.7474119999963,0.8761938140716727,2190.484535179182,0.05224271213155957,0.5929203539823009
