algorithm_name,run_id,TOTAL_TAGS,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
CPT,38,450,0.5,203345.0,0.20334500000000033,0.0004653225000000009,257,129,48,80,0.5019455252918288,203.345,0.203345,0.20381032250000033,1.7509727626459144,452.9118277777785,0.8851951117558828,2212.987779389707,0.041443810028762566,0.1867704280155642
ECUMI,38,450,0.5,226380.0,0.22637999999999808,0.0005217075000000009,329,56,65,208,0.1702127659574468,226.38,0.22638,0.22690170749999808,1.3677811550151975,504.22601666666236,0.795123244102836,1987.8081102570898,0.05136600854384957,0.19756838905775076
ISMTI,38,450,0.5,110092.5,0.11009250000000005,0.0005819735249999999,25,3,21,1,0.12,110.0925,0.1100925,0.11067447352500005,18.0,245.94327450000011,1.6349887594522787,4087.471898630697,0.012184429476551068,0.84
LODS_MTI,38,450,0.5,67197.5,0.0671975,0.000304790625,8,0,7,1,0.0,67.1975,0.0671975,0.06750229062499999,56.25,150.00509027777775,2.678671081513449,6696.677703783624,0.004535985174273436,0.875
LODS_MTI_128b,38,450,0.5,87742.5,0.08774250000000001,0.000286216875,15,0,14,1,0.0,87.7425,0.0877425,0.08802871687500001,30.0,195.61937083333336,2.0514573895204715,5128.643473801179,0.007723859690404689,0.9333333333333333
CT_MTI,24,550,0.5,358550.0,0.358549999999999,0.0010491475000000009,355,146,209,0,0.4112676056338028,358.55,0.35855,0.359599147499999,1.5492957746478873,653.81663181818,0.6135824850090643,1533.9562125226607,0.12893427433612464,0.5887323943661972
CR_MTI,24,550,0.5,607170.0,0.6071700000000012,0.0019719150000000007,222,1,221,0,0.0045045045045045045,607.17,0.60717,0.6091419150000013,2.4774774774774775,1107.5307545454568,0.3623367425926841,905.8418564817102,0.36985269653055075,0.9954954954954955
CPT,24,550,0.5,236952.5,0.23695250000000045,0.000661148125000003,297,161,57,79,0.5420875420875421,236.9525,0.2369525,0.23761364812500047,1.8518518518518519,432.0248147727281,0.9284561251727668,2321.1403129319165,0.05630314795733918,0.1919191919191919
ECUMI,24,550,0.5,279855.0,0.279854999999999,0.0007846987499999927,409,62,84,263,0.15158924205378974,279.855,0.279855,0.280639698749999,1.3447432762836187,510.25399772727087,0.7861213842882921,1965.3034607207303,0.07853842289368097,0.20537897310513448
ISMTI,24,550,0.5,127782.5,0.12778250000000002,0.0007182549249999994,29,0,28,1,0.0,127.7825,0.1277825,0.12850075492500002,18.96551724137931,233.63773622727277,1.7216755032966173,4304.188758241544,0.016420147716203815,0.9655172413793104
