total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Drift_Percent,Payload_Bits,Run_ID
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,7
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,6
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,8
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,7
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,8
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,9
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,10
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,9
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,11
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,10
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,12
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,11
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,13
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,12
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,13
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,14
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,15
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,14
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,15
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,17
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,16
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,16
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,18
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,17
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,18
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,19
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,20
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,19
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,20
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,21
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,21
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,22
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,22
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,23
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,24
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,23
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,24
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,25
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,26
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,25
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,27
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,26
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,27
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,28
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,28
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,29
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,30
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,29
73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,1.0,0.05,256,31
96560.0,0.09656,0.0,16,0,16,0,0.0,1.0,0.05,128,30
