Round,Adaptive,Fixed-Fast,Fixed-Robust
125,0.9131985731272295,0.8810939357907254,0.985731272294887
126,0.9047058823529411,0.8905882352941177,0.9858823529411764
127,0.9104651162790698,0.9174418604651163,0.9965116279069768
128,0.9228998849252014,0.9102416570771001,0.9861910241657077
129,0.9294653014789533,0.931740614334471,0.9829351535836177
130,0.9245495495495496,0.9346846846846847,0.9932432432432432
131,0.9409141583054627,0.935340022296544,0.9955406911928651
132,0.9304635761589404,0.9337748344370861,0.9977924944812362
133,0.9409190371991247,0.9507658643326039,0.9934354485776805
134,0.9469122426868906,0.942578548212351,0.9934994582881906
135,0.949516648764769,0.9377013963480129,0.9978517722878625
136,0.9584664536741214,0.9595314164004259,0.9968051118210862
137,0.9640591966173362,0.96723044397463,0.9968287526427061
138,0.9695697796432319,0.9769150052465897,0.9968520461699895
139,0.9760416666666667,0.9697916666666667,1.0
140,0.9720496894409938,0.968944099378882,0.9989648033126294
141,0.98559670781893,0.9753086419753086,0.9989711934156379
142,0.9877175025588536,0.9897645854657113,1.0
143,0.9918533604887984,0.9857433808553971,1.0
144,0.9979716024340771,0.9918864097363083,1.0
145,0.9939393939393939,0.9919191919191919,1.0
146,0.9899295065458208,0.9969788519637462,1.0
147,0.9969879518072289,0.998995983935743,1.0
148,0.9979959919839679,0.996993987975952,1.0
149,1.0,0.997997997997998,1.0
150,1.0,1.0,1.0
151,1.0,1.0,1.0
152,1.0,1.0,1.0
153,1.0,1.0,1.0
154,1.0,1.0,1.0
155,1.0,1.0,1.0
156,1.0,1.0,1.0
157,1.0,1.0,1.0
158,1.0,1.0,1.0
159,1.0,1.0,1.0
160,1.0,1.0,1.0
161,1.0,1.0,1.0
162,1.0,1.0,1.0
163,1.0,1.0,1.0
164,1.0,1.0,1.0
165,1.0,1.0,1.0
166,1.0,1.0,1.0
167,1.0,1.0,1.0
168,1.0,1.0,1.0
169,1.0,1.0,1.0
170,1.0,1.0,1.0
171,1.0,1.0,1.0
172,1.0,1.0,1.0
173,1.0,1.0,1.0
174,1.0,1.0,1.0
175,1.0,1.0,1.0
176,1.0,1.0,1.0
177,1.0,1.0,1.0
178,1.0,1.0,1.0
179,1.0,1.0,1.0
180,1.0,1.0,1.0
181,1.0,1.0,1.0
182,1.0,1.0,1.0
183,1.0,1.0,1.0
184,1.0,1.0,1.0
185,1.0,1.0,1.0
186,1.0,1.0,1.0
187,1.0,1.0,1.0
188,1.0,1.0,1.0
189,1.0,1.0,1.0
190,1.0,1.0,1.0
191,1.0,1.0,1.0
192,1.0,1.0,1.0
193,1.0,1.0,1.0
194,1.0,1.0,1.0
195,1.0,1.0,1.0
196,1.0,1.0,1.0
197,1.0,1.0,1.0
198,1.0,1.0,1.0
199,1.0,1.0,1.0
200,1.0,1.0,1.0
