algorithm_name,run_id,Round,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Time_ms,Recall,Env_Severity,Real_BER,total_time_ms,total_time_s,total_energy_j,edp,collision_rate
Adaptive,0,23,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,19,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,23,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,24,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,20,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,24,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,21,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,22,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,25,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,24,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,25,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,26,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,22,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,25,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,27,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,27,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
