algorithm_name,run_id,TOTAL_TAGS,BER,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,System_Throughput,Total_Time_ms,Algorithm_Type,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
LODS-MTI (Power-of-2),11,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),12,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),13,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),14,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),15,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),16,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),17,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),18,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Power-of-2),19,100,0.0,17967.5,0.017967499999999997,0.0,3,0,3,0,0.0,5565.604563795742,17.9675,LODS_Limit,17.9675,0.0179675,0.017967499999999997,33.333333333333336,179.67499999999995,2.2262418255182967,5565.604563795742,0.00032283105625,1.0
LODS-MTI (Arbitrary K),2,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),0,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),1,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),4,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),3,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),5,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),6,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),7,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),10,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),8,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),9,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),11,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),12,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),13,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),14,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),15,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),16,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),17,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),18,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Arbitrary K),19,150,0.0,23742.5,0.023742499999999996,0.0,3,0,3,0,0.0,6317.784563546383,23.7425,LODS_Standard,23.7425,0.0237425,0.023742499999999996,50.0,158.2833333333333,2.5271138254185534,6317.784563546383,0.0005637063062499999,1.0
LODS-MTI (Power-of-2),1,150,0.0,27717.5,0.0277175,0.0,5,0,4,1,0.0,5411.743483358889,27.7175,LODS_Limit,27.7175,0.0277175,0.0277175,30.0,184.78333333333333,2.1646973933435554,5411.743483358889,0.0007682598062499999,0.8
LODS-MTI (Power-of-2),0,150,0.0,28037.5,0.0280375,0.0,5,1,4,0,0.2,5349.977708426215,28.0375,LODS_Limit,28.0375,0.0280375,0.0280375,30.0,186.91666666666666,2.139991083370486,5349.977708426215,0.00078610140625,0.8
LODS-MTI (Power-of-2),2,150,0.0,28037.5,0.0280375,0.0,5,1,4,0,0.2,5349.977708426215,28.0375,LODS_Limit,28.0375,0.0280375,0.0280375,30.0,186.91666666666666,2.139991083370486,5349.977708426215,0.00078610140625,0.8
LODS-MTI (Power-of-2),4,150,0.0,28037.5,0.0280375,0.0,5,1,4,0,0.2,5349.977708426215,28.0375,LODS_Limit,28.0375,0.0280375,0.0280375,30.0,186.91666666666666,2.139991083370486,5349.977708426215,0.00078610140625,0.8
LODS-MTI (Power-of-2),3,150,0.0,27937.5,0.027937499999999997,0.0,5,0,5,0,0.0,5369.127516778523,27.9375,LODS_Limit,27.9375,0.0279375,0.027937499999999997,30.0,186.24999999999997,2.1476510067114094,5369.127516778523,0.00078050390625,1.0
LODS-MTI (Power-of-2),6,150,0.0,27717.5,0.0277175,0.0,5,1,3,1,0.2,5411.743483358889,27.7175,LODS_Limit,27.7175,0.0277175,0.0277175,30.0,184.78333333333333,2.1646973933435554,5411.743483358889,0.0007682598062499999,0.6
LODS-MTI (Power-of-2),7,150,0.0,28037.5,0.0280375,0.0,5,0,5,0,0.0,5349.977708426215,28.0375,LODS_Limit,28.0375,0.0280375,0.0280375,30.0,186.91666666666666,2.139991083370486,5349.977708426215,0.00078610140625,1.0
LODS-MTI (Power-of-2),5,150,0.0,27717.5,0.0277175,0.0,5,0,4,1,0.0,5411.743483358889,27.7175,LODS_Limit,27.7175,0.0277175,0.0277175,30.0,184.78333333333333,2.1646973933435554,5411.743483358889,0.0007682598062499999,0.8
LODS-MTI (Power-of-2),9,150,0.0,28037.5,0.0280375,0.0,5,0,5,0,0.0,5349.977708426215,28.0375,LODS_Limit,28.0375,0.0280375,0.0280375,30.0,186.91666666666666,2.139991083370486,5349.977708426215,0.00078610140625,1.0
LODS-MTI (Power-of-2),8,150,0.0,28037.5,0.0280375,0.0,5,0,5,0,0.0,5349.977708426215,28.0375,LODS_Limit,28.0375,0.0280375,0.0280375,30.0,186.91666666666666,2.139991083370486,5349.977708426215,0.00078610140625,1.0
LODS-MTI (Power-of-2),10,150,0.0,28037.5,0.0280375,0.0,5,1,4,0,0.2,5349.977708426215,28.0375,LODS_Limit,28.0375,0.0280375,0.0280375,30.0,186.91666666666666,2.139991083370486,5349.977708426215,0.00078610140625,0.8
LODS-MTI (Power-of-2),12,150,0.0,27717.5,0.0277175,0.0,5,0,4,1,0.0,5411.743483358889,27.7175,LODS_Limit,27.7175,0.0277175,0.0277175,30.0,184.78333333333333,2.1646973933435554,5411.743483358889,0.0007682598062499999,0.8
LODS-MTI (Power-of-2),11,150,0.0,27937.5,0.027937499999999997,0.0,5,0,5,0,0.0,5369.127516778523,27.9375,LODS_Limit,27.9375,0.0279375,0.027937499999999997,30.0,186.24999999999997,2.1476510067114094,5369.127516778523,0.00078050390625,1.0
LODS-MTI (Power-of-2),13,150,0.0,27937.5,0.027937499999999997,0.0,5,1,4,0,0.2,5369.127516778523,27.9375,LODS_Limit,27.9375,0.0279375,0.027937499999999997,30.0,186.24999999999997,2.1476510067114094,5369.127516778523,0.00078050390625,0.8
LODS-MTI (Power-of-2),14,150,0.0,28037.5,0.0280375,0.0,5,1,4,0,0.2,5349.977708426215,28.0375,LODS_Limit,28.0375,0.0280375,0.0280375,30.0,186.91666666666666,2.139991083370486,5349.977708426215,0.00078610140625,0.8
LODS-MTI (Power-of-2),15,150,0.0,27937.5,0.027937499999999997,0.0,5,0,5,0,0.0,5369.127516778523,27.9375,LODS_Limit,27.9375,0.0279375,0.027937499999999997,30.0,186.24999999999997,2.1476510067114094,5369.127516778523,0.00078050390625,1.0
LODS-MTI (Power-of-2),16,150,0.0,27737.5,0.0277375,0.0,5,1,4,0,0.2,5407.8413699864805,27.7375,LODS_Limit,27.7375,0.0277375,0.0277375,30.0,184.91666666666666,2.163136547994592,5407.8413699864805,0.0007693689062499999,0.8
LODS-MTI (Power-of-2),17,150,0.0,28037.5,0.0280375,0.0,5,1,4,0,0.2,5349.977708426215,28.0375,LODS_Limit,28.0375,0.0280375,0.0280375,30.0,186.91666666666666,2.139991083370486,5349.977708426215,0.00078610140625,0.8
LODS-MTI (Power-of-2),18,150,0.0,27937.5,0.027937499999999997,0.0,5,1,4,0,0.2,5369.127516778523,27.9375,LODS_Limit,27.9375,0.0279375,0.027937499999999997,30.0,186.24999999999997,2.1476510067114094,5369.127516778523,0.00078050390625,0.8
LODS-MTI (Power-of-2),19,150,0.0,27717.5,0.0277175,0.0,5,1,3,1,0.2,5411.743483358889,27.7175,LODS_Limit,27.7175,0.0277175,0.0277175,30.0,184.78333333333333,2.1646973933435554,5411.743483358889,0.0007682598062499999,0.6
LODS-MTI (Arbitrary K),2,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),1,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),0,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),4,200,0.0,31677.5,0.0316775,0.0,4,1,3,0,0.25,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,0.75
LODS-MTI (Arbitrary K),3,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),5,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
LODS-MTI (Arbitrary K),6,200,0.0,31677.5,0.0316775,0.0,4,0,4,0,0.0,6313.629547786284,31.6775,LODS_Standard,31.6775,0.0316775,0.0316775,50.0,158.3875,2.5254518191145134,6313.629547786284,0.0010034640062499998,1.0
