algorithm_name,run_id,CAPTURE_RATIO_DB,TOTAL_TAGS,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,false_positive_rate,accuracy,capture_ratio_db,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
ECUMI,0,4,1000,459035.0,0.4590350000000078,0.002322625000000002,655,218,45,392,0.332824427480916,0.0,1.0,4,459.035,0.459035,0.4613576250000078,1.5267175572519085,461.3576250000078,0.8713932488808043,2178.4831222020107,0.2117792973918786,0.06870229007633588
ISMTI,0,4,1000,193162.5,0.1931625000000001,0.0017366233499999998,42,4,37,1,0.09523809523809523,0.0,1.0,4,193.1625,0.1931625,0.1948991233500001,23.80952380952381,194.8991233500001,2.0707953148256,5176.988287064001,0.03764720191409439,0.8809523809523809
Improve_Two,0,4,1000,146560.0,0.14656,0.0010711009999999997,16,1,15,0,0.0625,0.0,1.0,4,146.56,0.14656,0.147631101,62.5,147.631101,2.7292576419213974,6823.144104803494,0.021636814162559997,0.9375
CT_MTI,2,2,1000,606000.0,0.6060000000000074,0.003152958000000023,600,517,83,0,0.8616666666666667,0.0,1.0,2,606.0,0.606,0.6091529580000075,1.6666666666666667,609.1529580000074,0.6600660066006601,1650.1650165016501,0.36914669254800453,0.13833333333333334
CR_MTI,2,2,1000,1464165.0,1.4641649999999957,0.008053425000000017,536,360,175,1,0.6716417910447762,0.0,1.0,2,1464.165,1.464165,1.4722184249999957,1.8656716417910448,1472.2184249999957,0.273193253492605,682.9831337315126,2.1555706902401184,0.32649253731343286
CPT,2,2,1000,413732.5,0.4137325000000063,0.0020859875000000154,520,366,10,144,0.7038461538461539,0.228,0.886,2,413.7325,0.4137325,0.4158184875000063,1.9230769230769231,415.81848750000626,0.9668082637936347,2417.020659484087,0.17203762237959636,0.019230769230769232
ECUMI,2,2,1000,454965.0,0.45496500000000745,0.002302275000000001,655,233,19,403,0.35572519083969467,0.0,1.0,2,454.965,0.454965,0.45726727500000747,1.5267175572519085,457.2672750000075,0.8791885090061874,2197.971272515468,0.2080406057703784,0.02900763358778626
ISMTI,2,2,1000,179295.0,0.17929500000000012,0.0016011425999999994,39,12,26,1,0.3076923076923077,0.0,1.0,2,179.295,0.179295,0.18089614260000011,25.641025641025642,180.8961426000001,2.2309601494743303,5577.400373685825,0.03243377388746702,0.6666666666666666
Improve_Two,2,2,1000,146560.0,0.14656,0.0010698049999999996,16,3,13,0,0.1875,0.0,1.0,2,146.56,0.14656,0.147629805,62.5,147.629805,2.7292576419213974,6823.144104803494,0.0216366242208,0.8125
CT_MTI,3,4,1000,621150.0,0.6211500000000084,0.0032290392000000247,615,500,115,0,0.8130081300813008,0.0,1.0,4,621.15,0.62115,0.6243790392000085,1.6260162601626016,624.3790392000085,0.6439668357079611,1609.9170892699026,0.38783304019908527,0.18699186991869918
CR_MTI,3,4,1000,1282715.0,1.2827150000000003,0.007054600000000012,469,244,225,0,0.5202558635394456,0.0,1.0,4,1282.715,1.282715,1.2897696000000003,2.1321961620469083,1289.7696000000003,0.31183856117687875,779.5964029421968,1.6544068124640003,0.47974413646055436
CPT,3,4,1000,413877.5,0.4138775000000063,0.002086712500000015,520,352,25,143,0.676923076923077,0.196,0.902,4,413.8775,0.4138775,0.4159642125000063,1.9230769230769231,415.9642125000063,0.9664695471486128,2416.173867871532,0.17215822835897138,0.04807692307692308
ECUMI,3,4,1000,456815.0,0.4568150000000076,0.0023115250000000026,655,222,35,398,0.33893129770992364,0.0,1.0,4,456.815,0.456815,0.45912652500000756,1.5267175572519085,459.1265250000075,0.8756279894486827,2189.0699736217066,0.20973588351787847,0.05343511450381679
ISMTI,3,4,1000,188752.5,0.1887525000000001,0.001685857499999999,41,1,39,1,0.024390243902439025,0.0,1.0,4,188.7525,0.1887525,0.1904383575000001,24.390243902439025,190.4383575000001,2.1191772294406697,5297.943073601675,0.035945716074018766,0.9512195121951219
Improve_Two,3,4,1000,146560.0,0.14656,0.0010711009999999997,16,1,15,0,0.0625,0.0,1.0,4,146.56,0.14656,0.147631101,62.5,147.631101,2.7292576419213974,6823.144104803494,0.021636814162559997,0.9375
CT_MTI,1,4,1000,628220.0,0.6282200000000089,0.003264140800000026,622,508,114,0,0.8167202572347267,0.0,1.0,4,628.22,0.62822,0.6314841408000089,1.607717041800643,631.4841408000088,0.6367196205151061,1591.7990512877655,0.3967109669333816,0.1832797427652733
CR_MTI,1,4,1000,1465960.0,1.4659599999999957,0.00806240000000002,536,249,287,0,0.46455223880597013,0.0,1.0,4,1465.96,1.46596,1.4740223999999957,1.8656716417910448,1474.0223999999957,0.27285874102976887,682.1468525744223,2.1608578775039935,0.5354477611940298
CPT,1,4,1000,413732.5,0.41373250000000633,0.0020859875000000137,520,357,19,144,0.6865384615384615,0.21,0.895,4,413.7325,0.4137325,0.41581848750000633,1.9230769230769231,415.8184875000063,0.9668082637936347,2417.020659484087,0.17203762237959638,0.03653846153846154
ECUMI,1,4,1000,460515.0,0.46051500000000767,0.0023300250000000034,655,229,38,388,0.34961832061068704,0.0,1.0,4,460.515,0.460515,0.4628450250000077,1.5267175572519085,462.8450250000077,0.8685927711366622,2171.4819278416553,0.21314707668787855,0.05801526717557252
ISMTI,1,4,1000,179332.5,0.1793325000000001,0.0015961677,39,3,35,1,0.07692307692307693,0.0,1.0,4,179.3325,0.1793325,0.1809286677000001,25.641025641025642,180.92866770000012,2.2304936361228442,5576.234090307111,0.03244639030031027,0.8974358974358975
