K,Rho,Run_ID,Drift_Val,Scenario
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
64,4,8,0.0,Ideal (Drift=0%)
40,4,8,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
64,4,7,0.0,Ideal (Drift=0%)
40,4,7,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
64,4,9,0.0,Ideal (Drift=0%)
40,4,9,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
64,4,11,0.0,Ideal (Drift=0%)
40,4,11,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
64,4,10,0.0,Ideal (Drift=0%)
