algorithm_name,run_id,MISSING_RATE,TOTAL_TAGS,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,noise_rate_pct,missing_rate_pct,ENABLE_NOISE,packet_error_rate,ENABLE_CAPTURE_EFFECT,CAPTURE_RATIO_DB,ENABLE_ENERGY_TRACKING,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
Fixed (rho=2),7,0.25,500,71760.0,0.07176000000000005,0.0003622297500000001,16,0,16,0,0.0,0.0,25.0,False,0.0,False,3.0,True,71.76,0.07176,0.07212222975000004,31.25,144.2444595000001,2.7870680044593086,6967.670011148271,0.005175491206860004,1.0
Fixed (rho=4),0,0.25,500,140972.5,0.1409725,0.0006231086249999998,31,0,31,0,0.0,0.0,25.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141595608625,16.129032258064516,283.19121724999997,1.4187164163223325,3546.791040805831,0.019961086936887813,1.0
Fixed (rho=2),17,0.25,500,71760.0,0.07176000000000005,0.0003623377500000001,16,0,16,0,0.0,0.0,25.0,False,0.0,False,3.0,True,71.76,0.07176,0.07212233775000004,31.25,144.2446755000001,2.7870680044593086,6967.670011148271,0.0051754989569400035,1.0
Fixed (rho=2),19,0.01,500,71760.0,0.07176000000000005,0.00047820374999999995,16,0,16,0,0.0,0.0,1.0,False,0.0,False,3.0,True,71.76,0.07176,0.07223820375000005,31.25,144.47640750000008,2.7870680044593086,6967.670011148271,0.005183813501100004,1.0
Fixed (rho=2),17,0.05,500,71760.0,0.07176000000000005,0.00045889274999999995,16,0,16,0,0.0,0.0,5.0,False,0.0,False,3.0,True,71.76,0.07176,0.07221889275000004,31.25,144.43778550000007,2.7870680044593086,6967.670011148271,0.0051824277437400035,1.0
Fixed (rho=2),6,0.05,500,71760.0,0.07176000000000005,0.00045883874999999997,16,0,16,0,0.0,0.0,5.0,False,0.0,False,3.0,True,71.76,0.07176,0.07221883875000004,31.25,144.4376775000001,2.7870680044593086,6967.670011148271,0.005182423868700004,1.0
Adaptive (Ours),5,0.25,500,76307.5,0.07630750000000004,0.0003793368750000001,17,0,17,0,0.0,0.0,25.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07668683687500004,29.41176470588235,153.37367375000008,2.6209743472135765,6552.435868033942,0.005851780804839065,1.0
Fixed (rho=4),5,0.1,500,140972.5,0.1409725,0.0007478167499999999,31,0,31,0,0.0,0.0,10.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.14172031675,16.129032258064516,283.4406335,1.4187164163223325,3546.791040805831,0.019978667353039374,1.0
Adaptive (Ours),2,0.1,500,76307.5,0.07630750000000004,0.0004552582500000001,17,0,17,0,0.0,0.0,10.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07676275825000005,29.41176470588235,153.5255165000001,2.6209743472135765,6552.435868033942,0.005857574175161879,1.0
Fixed (rho=4),0,0.01,500,140972.5,0.1409725,0.0008226056250000003,31,0,31,0,0.0,0.0,1.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141795105625,16.129032258064516,283.59021125,1.4187164163223325,3546.791040805831,0.019989210527720312,1.0
Adaptive (Ours),7,0.1,500,76307.5,0.07630750000000004,0.00045525825000000014,17,0,17,0,0.0,0.0,10.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07676275825000005,29.41176470588235,153.5255165000001,2.6209743472135765,6552.435868033942,0.005857574175161879,1.0
Fixed (rho=4),18,0.05,500,140972.5,0.1409725,0.0007893621249999996,31,0,31,0,0.0,0.0,5.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141761862125,16.129032258064516,283.52372425,1.4187164163223325,3546.791040805831,0.019984524108416564,1.0
Adaptive (Ours),0,0.05,500,76307.5,0.07630750000000004,0.00048043937499999995,17,0,17,0,0.0,0.0,5.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07678793937500004,29.41176470588235,153.5758787500001,2.6209743472135765,6552.435868033942,0.005859495683857816,1.0
Adaptive (Ours),16,0.05,500,76307.5,0.07630750000000004,0.00048054737499999986,17,0,17,0,0.0,0.0,5.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07678804737500004,29.41176470588235,153.57609475000007,2.6209743472135765,6552.435868033942,0.005859503925067816,1.0
Fixed (rho=4),13,0.01,500,140972.5,0.1409725,0.0008226056250000003,31,0,31,0,0.0,0.0,1.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141795105625,16.129032258064516,283.59021125,1.4187164163223325,3546.791040805831,0.019989210527720312,1.0
Fixed (rho=2),10,0.5,500,71760.0,0.07176000000000005,0.0002416305,16,0,16,0,0.0,0.0,50.0,False,0.0,False,3.0,True,71.76,0.07176,0.07200163050000005,31.25,144.00326100000012,2.7870680044593086,6967.670011148271,0.005166837004680004,1.0
Fixed (rho=2),2,0.01,500,71760.0,0.07176000000000005,0.00047820374999999995,16,0,16,0,0.0,0.0,1.0,False,0.0,False,3.0,True,71.76,0.07176,0.07223820375000005,31.25,144.47640750000008,2.7870680044593086,6967.670011148271,0.005183813501100004,1.0
Adaptive (Ours),16,0.01,500,76307.5,0.07630750000000004,0.0005007138749999998,17,0,17,0,0.0,0.0,1.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07680821387500004,29.41176470588235,153.6164277500001,2.6209743472135765,6552.435868033942,0.005861042780266566,1.0
Fixed (rho=4),11,0.25,500,140972.5,0.1409725,0.0006232526249999998,31,0,31,0,0.0,0.0,25.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141595752625,16.129032258064516,283.19150525,1.4187164163223325,3546.791040805831,0.01996110723692781,1.0
Adaptive (Ours),10,0.05,500,76307.5,0.07630750000000004,0.00048049337499999993,17,0,17,0,0.0,0.0,5.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07678799337500004,29.41176470588235,153.5759867500001,2.6209743472135765,6552.435868033942,0.005859499804462816,1.0
Adaptive (Ours),11,0.1,500,76307.5,0.07630750000000004,0.00045520425000000015,17,0,17,0,0.0,0.0,10.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07676270425000004,29.41176470588235,153.52540850000008,2.6209743472135765,6552.435868033942,0.0058575700545568776,1.0
