algorithm_name,run_id,TOTAL_TAGS,BER,Tolerance,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Goodput,System_Throughput,Tolerance_Threshold,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
LODS (eps=0.10),4,1000,0.06,0.1,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.982,2575.940401867688,5246.314464088978,0.1,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.10),8,1000,0.06,0.1,187675.0,0.18767500000000006,0.0,30,0,30,0,0.0,0.988,2632.2099373917677,5328.360197149327,0.1,187.675,0.187675,0.18767500000000006,33.333333333333336,187.67500000000007,2.1313440788597307,5328.360197149327,0.035221905625000015,1.0
LODS (eps=0.10),5,1000,0.06,0.1,187650.0,0.18765000000000007,0.0,30,0,30,0,0.0,0.98,2611.244337863043,5329.070077271515,0.1,187.65,0.18765,0.18765000000000007,33.333333333333336,187.65000000000006,2.1316280309086064,5329.070077271515,0.03521252250000002,1.0
LODS (eps=0.15),0,1000,0.06,0.15,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.976,2560.201458475421,5246.314464088978,0.15,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.15),1,1000,0.06,0.15,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.976,2600.2397762088717,5328.360197149327,0.15,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.10),7,1000,0.06,0.1,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.984,2581.186716331777,5246.314464088978,0.1,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.15),6,1000,0.06,0.15,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.984,2581.186716331777,5246.314464088978,0.15,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
LODS (eps=0.10),9,1000,0.06,0.1,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.986,2626.8815771946183,5328.360197149327,0.1,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.15),3,1000,0.06,0.15,187675.0,0.18767500000000004,0.0,30,0,30,0,0.0,0.974,2594.9114160117224,5328.360197149327,0.15,187.675,0.187675,0.18767500000000004,33.333333333333336,187.67500000000004,2.1313440788597307,5328.360197149327,0.03522190562500001,1.0
LODS (eps=0.15),5,1000,0.06,0.15,190610.0,0.19061000000000006,0.0,31,0,31,0,0.0,0.986,2586.4330307958658,5246.314464088978,0.15,190.61,0.19061,0.19061000000000006,32.25806451612903,190.61000000000007,2.098525785635591,5246.314464088978,0.03633217210000001,1.0
