algorithm_name,run_id,Burst,Jitter,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Reliability,Metric_Value,total_time_ms,total_time_s,total_energy_j,edp,collision_rate
LODS (rho=2),49,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),50,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),32,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),51,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),35,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),52,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),55,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),53,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),54,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),56,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),57,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
LODS (rho=2),58,0,0,36590.0,0.03659,0.0,4,0,4,0,0.0,1.0,0,36.59,0.03659,0.03659,0.0013388280999999998,1.0
