Round,Fixed-Robust,LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.40),LODS (eps=0.60)
166,0.14436,0.078065,0.078065,0.078065,0.078065
167,0.14436,0.078065,0.078065,0.078065,0.078065
168,0.14436,0.078065,0.078065,0.078065,0.078065
169,0.14436,0.078065,0.078065,0.078065,0.078065
170,0.14436,0.078065,0.078065,0.078065,0.078065
171,0.14436,0.078065,0.078065,0.078065,0.078065
172,0.14436,0.078065,0.078065,0.078065,0.078065
173,0.14436,0.078065,0.078065,0.078065,0.078065
174,0.14436,0.078065,0.078065,0.078065,0.078065
175,0.14436,0.078065,0.078065,0.078065,0.078065
176,0.14436,0.078065,0.078065,0.078065,0.078065
177,0.14436,0.078065,0.078065,0.078065,0.078065
178,0.14436,0.078065,0.078065,0.078065,0.078065
179,0.14436,0.078065,0.078065,0.078065,0.078065
180,0.14436,0.078065,0.078065,0.078065,0.078065
181,0.14436,0.078065,0.078065,0.078065,0.078065
182,0.14436,0.078065,0.078065,0.078065,0.078065
183,0.14436,0.078065,0.078065,0.078065,0.078065
184,0.14436,0.078065,0.078065,0.078065,0.078065
185,0.14436,0.078065,0.078065,0.078065,0.078065
186,0.14436,0.078065,0.078065,0.078065,0.078065
187,0.14436,0.078065,0.078065,0.078065,0.078065
188,0.14436,0.078065,0.078065,0.078065,0.078065
189,0.14436,0.078065,0.078065,0.078065,0.078065
190,0.14436,0.078065,0.078065,0.078065,0.078065
191,0.14436,0.078065,0.078065,0.078065,0.078065
192,0.14436,0.078065,0.078065,0.078065,0.078065
193,0.14436,0.078065,0.078065,0.078065,0.078065
194,0.14436,0.078065,0.078065,0.078065,0.078065
195,0.14436,0.078065,0.078065,0.078065,0.078065
196,0.14436,0.078065,0.078065,0.078065,0.078065
197,0.14436,0.078065,0.078065,0.078065,0.078065
198,0.14436,0.078065,0.078065,0.078065,0.078065
199,0.14436,0.078065,0.078065,0.078065,0.078065
