Round,Fixed-Robust,LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.40),LODS (eps=0.60)
181,144.36,78.065,78.065,78.065,78.065
182,144.36,78.065,78.065,78.065,78.065
183,144.36,78.065,78.065,78.065,78.065
184,144.36,78.065,78.065,78.065,78.065
185,144.36,78.065,78.065,78.065,78.065
186,144.36,78.065,78.065,78.065,78.065
187,144.36,78.065,78.065,78.065,78.065
188,144.36,78.065,78.065,78.065,78.065
189,144.36,78.065,78.065,78.065,78.065
190,144.36,78.065,78.065,78.065,78.065
191,144.36,78.065,78.065,78.065,78.065
192,144.36,78.065,78.065,78.065,78.065
193,144.36,78.065,78.065,78.065,78.065
194,144.36,78.065,78.065,78.065,78.065
195,144.36,78.065,78.065,78.065,78.065
196,144.36,78.065,78.065,78.065,78.065
197,144.36,78.065,78.065,78.065,78.065
198,144.36,78.065,78.065,78.065,78.065
199,144.36,78.065,78.065,78.065,78.065
