algorithm_name,run_id,TOTAL_TAGS,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
Fixed (rho=2),7,100,0.1,15902.5,0.0159025,3.627e-05,4,0,4,0,0.0,15.9025,0.0159025,0.01593877,25.0,159.38770000000002,2.5153277786511556,6288.319446627888,0.000253466289925,1.0
Fixed (rho=4),4,1000,0.1,281945.0,0.281945,0.002769191100000001,62,0,62,0,0.0,281.945,0.281945,0.2847141911,16.129032258064516,284.7141911,1.4187164163223325,3546.791040805831,0.0802737426096895,1.0
Adaptive (Ours),11,100,0.1,20450.0,0.020449999999999996,4.01625e-05,5,0,5,0,0.0,20.45,0.02045,0.020490162499999996,20.0,204.90162499999994,1.9559902200488999,4889.97555012225,0.0004190238231249999,1.0
Adaptive (Ours),7,600,0.1,90075.0,0.09007500000000003,0.0006210360000000002,20,0,20,0,0.0,90.075,0.090075,0.09069603600000004,30.0,151.16006000000007,2.6644462947543714,6661.1157368859285,0.008169445442700003,1.0
Fixed (rho=4),0,1000,0.1,281945.0,0.281945,0.0027688684500000015,62,0,62,0,0.0,281.945,0.281945,0.28471386845,16.129032258064516,284.71386845,1.4187164163223325,3546.791040805831,0.08027365164013525,1.0
Fixed (rho=3),6,300,0.1,51737.5,0.051737500000000006,0.00022532175,10,0,10,0,0.0,51.7375,0.0517375,0.051962821750000006,30.0,173.20940583333334,2.3194008214544577,5798.502053636144,0.002688426490290625,1.0
Fixed (rho=2),13,700,0.1,99295.0,0.09929500000000004,0.0007830180000000006,22,0,22,0,0.0,99.295,0.099295,0.10007801800000003,31.818181818181817,142.9685971428572,2.8198801550934083,7049.700387733522,0.009937246797310003,1.0
Fixed (rho=3),10,100,0.1,18402.5,0.018402499999999995,4.4810999999999995e-05,4,0,4,0,0.0,18.4025,0.0184025,0.018447310999999994,25.0,184.47310999999993,2.173617714984377,5434.044287460943,0.0003394766406774999,1.0
Fixed (rho=3),4,500,0.1,84260.0,0.08426000000000003,0.0005229045000000001,16,0,16,0,0.0,84.26,0.08426,0.08478290450000003,31.25,169.56580900000006,2.3736055067647754,5934.0137669119395,0.007143807533170003,1.0
Fixed (rho=2),18,400,0.1,58005.0,0.05800500000000003,0.0002979719999999999,13,0,13,0,0.0,58.005,0.058005,0.05830297200000003,30.76923076923077,145.75743000000008,2.7583828980260323,6895.95724506508,0.003381863890860002,1.0
Fixed (rho=2),13,300,0.1,44237.5,0.04423750000000001,0.00018621675,10,0,10,0,0.0,44.2375,0.0442375,0.044423716750000015,30.0,148.07905583333337,2.712630686634643,6781.576716586606,0.0019651941697281256,1.0
